Country,Time,Balance,Product,Value,Unit,Month,Year
Colombia,2025-01-01,Net Electricity Production,No Renovable,940.0578,GWh,1,2025
Colombia,2025-01-01,Net Electricity Production,No Renovable,278.8603,GWh,1,2025
Colombia,2025-01-01,Net Electricity Production,No Renovable,984.2175,GWh,1,2025
Colombia,2025-01-01,Net Electricity Production,Renovable,229.6657,GWh,1,2025
Colombia,2025-01-01,Net Electricity Production,Renovable,379.5036,GWh,1,2025
Colombia,2025-01-01,Net Electricity Production,Renovable,14.3895,GWh,1,2025
Colombia,2024-12-01,Net Electricity Production,Renovable,4139.1389,GWh,12,2024
Colombia,2024-12-01,Net Electricity Production,No Renovable,1082.3086,GWh,12,2024
Colombia,2024-12-01,Net Electricity Production,No Renovable,291.5079,GWh,12,2024
Colombia,2024-12-01,Net Electricity Production,No Renovable,1531.866,GWh,12,2024
Colombia,2024-12-01,Net Electricity Production,Renovable,229.6733,GWh,12,2024
Colombia,2024-12-01,Net Electricity Production,Renovable,311.485,GWh,12,2024
Colombia,2024-12-01,Net Electricity Production,Renovable,11.2568,GWh,12,2024
Colombia,2024-11-01,Net Electricity Production,Renovable,4216.5231,GWh,11,2024
Colombia,2024-11-01,Net Electricity Production,No Renovable,887.042,GWh,11,2024
Colombia,2024-11-01,Net Electricity Production,No Renovable,303.1036,GWh,11,2024
Colombia,2024-11-01,Net Electricity Production,No Renovable,1256.5801,GWh,11,2024
Colombia,2024-11-01,Net Electricity Production,Renovable,229.6388,GWh,11,2024
Colombia,2024-11-01,Net Electricity Production,Renovable,279.3362,GWh,11,2024
Colombia,2024-11-01,Net Electricity Production,Renovable,3.2827,GWh,11,2024
Colombia,2024-10-01,Net Electricity Production,Renovable,3569.1598,GWh,10,2024
Colombia,2024-10-01,Net Electricity Production,No Renovable,940.2171,GWh,10,2024
Colombia,2024-10-01,Net Electricity Production,No Renovable,308.8923,GWh,10,2024
Colombia,2024-10-01,Net Electricity Production,No Renovable,1929.3473,GWh,10,2024
Colombia,2024-10-01,Net Electricity Production,Renovable,229.6647,GWh,10,2024
Colombia,2024-10-01,Net Electricity Production,Renovable,309.1557,GWh,10,2024
Colombia,2024-10-01,Net Electricity Production,Renovable,9.6473,GWh,10,2024
Colombia,2024-09-01,Net Electricity Production,Renovable,4178.6337,GWh,9,2024
Colombia,2024-09-01,Net Electricity Production,No Renovable,883.9912,GWh,9,2024
Colombia,2024-09-01,Net Electricity Production,No Renovable,293.2774,GWh,9,2024
Colombia,2024-09-01,Net Electricity Production,No Renovable,1604.8133,GWh,9,2024
Colombia,2024-09-01,Net Electricity Production,Renovable,229.6588,GWh,9,2024
Colombia,2024-09-01,Net Electricity Production,Renovable,303.0101,GWh,9,2024
Colombia,2024-09-01,Net Electricity Production,Renovable,9.8562,GWh,9,2024
Colombia,2024-08-01,Net Electricity Production,Renovable,4924.8719,GWh,8,2024
Colombia,2024-08-01,Net Electricity Production,No Renovable,864.1786,GWh,8,2024
Colombia,2024-08-01,Net Electricity Production,No Renovable,287.0231,GWh,8,2024
Colombia,2024-08-01,Net Electricity Production,No Renovable,1125.6944,GWh,8,2024
Colombia,2024-08-01,Net Electricity Production,Renovable,229.6585,GWh,8,2024
Colombia,2024-08-01,Net Electricity Production,Renovable,314.2221,GWh,8,2024
Colombia,2024-08-01,Net Electricity Production,Renovable,14.3683,GWh,8,2024
Colombia,2024-07-01,Net Electricity Production,Renovable,5144.4299,GWh,7,2024
Colombia,2024-07-01,Net Electricity Production,No Renovable,579.5324,GWh,7,2024
Colombia,2024-07-01,Net Electricity Production,No Renovable,286.2918,GWh,7,2024
Colombia,2024-07-01,Net Electricity Production,No Renovable,963.1421,GWh,7,2024
Colombia,2024-07-01,Net Electricity Production,Renovable,229.649,GWh,7,2024
Colombia,2024-07-01,Net Electricity Production,Renovable,296.1264,GWh,7,2024
Colombia,2024-07-01,Net Electricity Production,Renovable,19.4134,GWh,7,2024
Colombia,2024-06-01,Net Electricity Production,Renovable,4782.4425,GWh,6,2024
Colombia,2024-06-01,Net Electricity Production,No Renovable,672.3583,GWh,6,2024
Colombia,2024-06-01,Net Electricity Production,No Renovable,285.3431,GWh,6,2024
Colombia,2024-06-01,Net Electricity Production,No Renovable,864.7558,GWh,6,2024
Colombia,2024-06-01,Net Electricity Production,Renovable,229.6286,GWh,6,2024
Colombia,2024-06-01,Net Electricity Production,Renovable,263.9113,GWh,6,2024
Colombia,2024-06-01,Net Electricity Production,Renovable,14.9609,GWh,6,2024
Colombia,2024-05-01,Net Electricity Production,Renovable,5223.6676,GWh,5,2024
Colombia,2024-05-01,Net Electricity Production,No Renovable,599.7461,GWh,5,2024
Colombia,2024-05-01,Net Electricity Production,No Renovable,290.7191,GWh,5,2024
Colombia,2024-05-01,Net Electricity Production,No Renovable,900.9233,GWh,5,2024
Colombia,2024-05-01,Net Electricity Production,Renovable,229.5607,GWh,5,2024
Colombia,2024-05-01,Net Electricity Production,Renovable,269.1145,GWh,5,2024
Colombia,2024-05-01,Net Electricity Production,Renovable,16.6115,GWh,5,2024
Colombia,2024-04-01,Net Electricity Production,Renovable,3106.599,GWh,4,2024
Colombia,2024-04-01,Net Electricity Production,No Renovable,1101.4137,GWh,4,2024
Colombia,2024-04-01,Net Electricity Production,No Renovable,327.4347,GWh,4,2024
Colombia,2024-04-01,Net Electricity Production,No Renovable,1998.2449,GWh,4,2024
Colombia,2024-04-01,Net Electricity Production,Renovable,229.6449,GWh,4,2024
Colombia,2024-04-01,Net Electricity Production,Renovable,265.6866,GWh,4,2024
Colombia,2024-04-01,Net Electricity Production,Renovable,18.6368,GWh,4,2024
Colombia,2024-03-01,Net Electricity Production,Renovable,3727.789,GWh,3,2024
Colombia,2024-03-01,Net Electricity Production,No Renovable,1176.129,GWh,3,2024
Colombia,2024-03-01,Net Electricity Production,No Renovable,291.4895,GWh,3,2024
Colombia,2024-03-01,Net Electricity Production,No Renovable,1856.2124,GWh,3,2024
Colombia,2024-03-01,Net Electricity Production,Renovable,229.6675,GWh,3,2024
Colombia,2024-03-01,Net Electricity Production,Renovable,267.7339,GWh,3,2024
Colombia,2024-03-01,Net Electricity Production,Renovable,17.8152,GWh,3,2024
Colombia,2024-02-01,Net Electricity Production,Renovable,3911.5076,GWh,2,2024
Colombia,2024-02-01,Net Electricity Production,No Renovable,1026.3419,GWh,2,2024
Colombia,2024-02-01,Net Electricity Production,No Renovable,286.1179,GWh,2,2024
Colombia,2024-02-01,Net Electricity Production,No Renovable,1395.9662,GWh,2,2024
Colombia,2024-02-01,Net Electricity Production,Renovable,229.6585,GWh,2,2024
Colombia,2024-02-01,Net Electricity Production,Renovable,211.6858,GWh,2,2024
Colombia,2024-02-01,Net Electricity Production,Renovable,14.8381,GWh,2,2024
Colombia,2024-01-01,Net Electricity Production,Renovable,4256.9416,GWh,1,2024
Colombia,2024-01-01,Net Electricity Production,No Renovable,1010.9606,GWh,1,2024
Colombia,2024-01-01,Net Electricity Production,No Renovable,286.986,GWh,1,2024
Colombia,2024-01-01,Net Electricity Production,No Renovable,1389.1884,GWh,1,2024
Colombia,2024-01-01,Net Electricity Production,Renovable,229.6712,GWh,1,2024
Colombia,2024-01-01,Net Electricity Production,Renovable,232.0247,GWh,1,2024
Colombia,2024-01-01,Net Electricity Production,Renovable,21.4606,GWh,1,2024
Colombia,2023-12-01,Net Electricity Production,Renovable,3997.2548,GWh,12,2023
Colombia,2023-12-01,Net Electricity Production,No Renovable,1019.9179,GWh,12,2023
Colombia,2023-12-01,Net Electricity Production,No Renovable,351.5356,GWh,12,2023
Colombia,2023-12-01,Net Electricity Production,No Renovable,1699.74,GWh,12,2023
Colombia,2023-12-01,Net Electricity Production,Renovable,229.6561,GWh,12,2023
Colombia,2023-12-01,Net Electricity Production,Renovable,184.7202,GWh,12,2023
Colombia,2023-12-01,Net Electricity Production,Renovable,18.2423,GWh,12,2023
Colombia,2023-11-01,Net Electricity Production,Renovable,4731.5522,GWh,11,2023
Colombia,2023-11-01,Net Electricity Production,No Renovable,698.3487,GWh,11,2023
Colombia,2023-11-01,Net Electricity Production,No Renovable,402.1,GWh,11,2023
Colombia,2023-11-01,Net Electricity Production,No Renovable,1125.0726,GWh,11,2023
Colombia,2023-11-01,Net Electricity Production,Renovable,229.6141,GWh,11,2023
Colombia,2023-11-01,Net Electricity Production,Renovable,141.5167,GWh,11,2023
Colombia,2023-11-01,Net Electricity Production,Renovable,12.8395,GWh,11,2023
Colombia,2023-10-01,Net Electricity Production,Renovable,3978.6195,GWh,10,2023
Colombia,2023-10-01,Net Electricity Production,No Renovable,1030.4292,GWh,10,2023
Colombia,2023-10-01,Net Electricity Production,No Renovable,383.6879,GWh,10,2023
Colombia,2023-10-01,Net Electricity Production,No Renovable,1806.7697,GWh,10,2023
