Proyecto,Tipo,Capacidad,Departamento,Municipio,Código Departamento,Código Municipio,Fecha estimada FPO,Energía [kWh/día],Usuarios,Inversión estimada [COP],Empleos estimados,Emisiones CO2 [Ton/año],Energía [kWh/año],Emisiones CO2 [Ton/días]
Ebsa gd y ag (53 proyectos),Solar,1.32,Boyacá,Tunja,15,15001,2022-05-31,6336.0,1099,5676000000.0,9,1850.0,2312640.0,5.068493150684931
Epm gd y ag (1469 proyectos),Solar,23.92,Antioquia,Medellín,5,5001,2022-05-31,114816.0,19910,102856000000.0,166,33526.0,41907840.0,91.85205479452055
Celsia gd y ag (286 proyectos),Solar,8.38,Valle del cauca,Cali,76,76001,2022-05-31,40224.0,6975,36034000000.0,58,11745.0,14681760.0,32.178082191780824
Enel gd y ag (331 proyectos),Solar,10.28,Bogotá d.c.,Bogotá d.c.,11,11001,2021-07-22,49344.0,8557,44204000000.0,72,14408.0,18010560.0,39.47397260273973
Cens gd y ag (165 proyectos),Solar,2.39,Norte de santander,San josé de cúcuta,54,54001,2022-05-31,11472.0,1989,10277000000.0,17,3350.0,4187280.0,9.178082191780822
Enerca gd y ag,Solar,1.26,Casanare,Yopal,85,85001,2021-07-22,6048.0,1049,5418000000.0,9,1766.0,2207520.0,4.838356164383562
Aire gd y ag,Solar,12.1,Atlántico,Barranquilla,8,8001,2021-07-22,58080.0,10072,52030000000.0,84,16959.0,21199200.0,46.463013698630135
La paila,Solar,9.9,Valle del cauca,Zarzal,76,76895,2021-08-07,47520.0,8240,42570000000.0,69,13876.0,17344800.0,38.016438356164386
La sierpe solar,Solar,19.9,Sucre,San benito abad,70,70678,2021-08-31,95520.0,16564,85570000000.0,139,27892.0,34864800.0,76.41643835616438
San fernando,Solar,61.0,Meta,Castilla la nueva,50,50150,2021-10-22,292800.0,50775,262300000000.0,425,85498.0,106872000.0,234.24109589041095
Complejo solar relianz cat,Solar,1.85,Atlántico,Galapa,8,8296,2021-11-25,8880.0,1540,7955000000.0,13,2593.0,3241200.0,7.104109589041096
Zona franca la cayena,Solar,1.8,Atlántico,Barranquilla,8,8001,2021-11-25,8640.0,1498,7740000000.0,13,2523.0,3153600.0,6.912328767123288
Complejo sur bogotá,Solar,0.3,Bogotá d.c.,Bogotá d.c.,11,11001,2021-12-10,1440.0,250,1290000000.0,2,420.0,525600.0,1.1506849315068493
Ceo gd y ag (34 proyectos),Solar,10.02,Cauca,Popayán,19,19001,2022-05-31,48096.0,8340,43086000000.0,70,14044.0,17555040.0,38.47671232876712
Edeq gd y ag (64 proyectos),Solar,1.13,Quindío,Armenia,63,63001,2022-05-31,5424.0,941,4859000000.0,8,1584.0,1979760.0,4.33972602739726
