"Proyecto","Tipo","Capacidad","Departamento","Municipio","Código Departamento","Código Municipio","Fecha estimada FPO","Energía [kWh/día]","Usuarios","Inversión estimada [COP]","Empleos estimados","Emisiones CO2 [Ton/año]"
"JEPIRACHI","Eólico","18.42","LA GUAJIRA","URIBIA","44","44847","2004-04-27T00:00:00.000","176,832","30,665","79,206,000,000","51","51,635"
"AUTOG CELSIA SOLAR YUMBO","Solar","9.8","VALLE DEL CAUCA","YUMBO","76","76892","2017-03-09T00:00:00.000","47,040","8,157","42,140,000,000","68","13,736"
"CELSIA SOLAR BOLIVAR","Solar","8.06","BOLÍVAR","SANTA ROSA","13","13683","2019-02-01T00:00:00.000","38,688","6,709","34,658,000,000","56","11,297"
"EL PASO SOLAR (ENEL GREEN POWER)","Solar","67","CESAR","EL PASO","20","20250","2019-04-05T00:00:00.000","321,600","55,769","288,100,000,000","466","93,907"
"SOLAR CASTILLA ECP","Solar","20","META","CASTILLA LA NUEVA","50","50150","2019-10-10T00:00:00.000","96,000","16,647","86,000,000,000","139","28,032"
"AGPE TECNOEMPAQUES DE OCCIDENTE","Solar","0.1","VALLE DEL CAUCA","CALI","76","76001","2019-12-19T00:00:00.000","480","83","430,000,000","1","140"
"RADAR FAC SAN ANDRÉS","Solar","0.01","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","SAN ANDRÉS","88","88001","2019-12-30T00:00:00.000","48","8","43,000,000","0","14"
"AGPE SFV MCDONALDS SOLEDAD","Solar","0.09","ATLÁNTICO","SOLEDAD","08","08758","2020-02-27T00:00:00.000","432","75","387,000,000","1","126"
"CELSIA SOLAR ESPINAL","Solar","9.9","TOLIMA","ESPINAL","73","73268","2020-05-31T00:00:00.000","47,520","8,240","42,570,000,000","69","13,876"
"FEDERACIÓN NACIONAL DE CAFETEROS","Solar","0.08","TOLIMA","IBAGUÉ","73","73001","2020-09-02T00:00:00.000","384","67","344,000,000","1","112"
"PANELES SOLARES ISA","Solar","0.25","ANTIOQUIA","MEDELLÍN","05","05001","2020-09-04T00:00:00.000","1,200","208","1,075,000,000","2","350"
"SENA PEDREGAL","Solar","0.2","ANTIOQUIA","MEDELLÍN","05","05001","2020-09-04T00:00:00.000","960","166","860,000,000","1","280"
"UNGUÍA 181 HOGARES + 5 ESCUELAS","Solar","0.15","CHOCÓ","UNGUÍA","27","27800","2020-09-07T00:00:00.000","720","125","645,000,000","1","210"
"BOSQUES SOLARES DE LOS LLANOS 1","Solar","19.9","META","PUERTO GAITÁN","50","50568","2020-09-10T00:00:00.000","95,520","16,564","85,570,000,000","139","27,892"
"BAYUNCA 1","Solar","3","BOLÍVAR","CARTAGENA DE INDIAS","13","13001","2020-09-30T00:00:00.000","14,400","2,497","12,900,000,000","21","4,205"
"PLASTICEL (AUTOCONSUMO)","Solar","1.5","VALLE DEL CAUCA","YUMBO","76","76892","2020-10-01T00:00:00.000","7,200","1,249","6,450,000,000","10","2,102"
"UTP","Solar","0.6","RISARALDA","PEREIRA","66","66001","2020-10-15T00:00:00.000","2,880","499","2,580,000,000","4","841"
"AEROPUERTO","Solar","0.55","RISARALDA","PEREIRA","66","66001","2020-10-15T00:00:00.000","2,640","458","2,365,000,000","4","771"
"UKUMARI","Solar","0.23","RISARALDA","PEREIRA","66","66001","2020-10-15T00:00:00.000","1,104","191","989,000,000","2","322"
"VIVA CERRITOS","Solar","0.21","RISARALDA","PEREIRA","66","66001","2020-10-15T00:00:00.000","1,008","175","903,000,000","1","294"
"CENTRO COMERCIAL VICTORIA","Solar","0.21","RISARALDA","PEREIRA","66","66001","2020-10-15T00:00:00.000","1,008","175","903,000,000","1","294"
"CENTRO COMERCIAL ALCIDES ARÉVALO","Solar","0.04","RISARALDA","PEREIRA","66","66001","2020-10-15T00:00:00.000","192","33","172,000,000","0","56"
"LICEO PINO VERDE","Solar","0.03","RISARALDA","PEREIRA","66","66001","2020-10-15T00:00:00.000","144","25","129,000,000","0","42"
"PÉTALO DE CÓRDOBA","Solar","9.9","CÓRDOBA","PLANETA RICA","23","23555","2020-11-07T00:00:00.000","47,520","8,240","42,570,000,000","69","13,876"
"CARMELO","Solar","9.9","VALLE DEL CAUCA","CANDELARIA","76","76130","2020-12-30T00:00:00.000","47,520","8,240","42,570,000,000","69","13,876"
"BOSQUES SOLARES DE LOS LLANOS 2","Solar","19.9","META","PUERTO GAITÁN","50","50568","2020-12-31T00:00:00.000","95,520","16,564","85,570,000,000","139","27,892"
"BOSQUES SOLARES DE LOS LLANOS 3","Solar","19.9","META","PUERTO GAITÁN","50","50568","2020-12-31T00:00:00.000","95,520","16,564","85,570,000,000","139","27,892"
"GRUPO SEB","Solar","1.4","ANTIOQUIA","RIONEGRO","05","05615","2020-12-31T00:00:00.000","6,720","1,165","6,020,000,000","10","1,962"
